Semana;Date;Start time;Duration (minutes);Plant_species;Insect_species;Interaction
1;05th July 2021;10:00;15;Agave attenuata;Melipinini preto (Scaptotrigona/Trigona) ? Prov. Trigona spinipes;2
1;05th July 2021;10:00;15;Talinum fruticosum;0;
1;05th July 2021;10:00;15;Turnera subulata;0;
1;05th July 2021;10:00;15;Tradescantia pallida;Apis mellifera;1
1;05th July 2021;10:00;15;Lantana camara;Lepidoptera branca;1
1;05th July 2021;10:00;15;Lantana camara;Apis mellifera;2
1;05th July 2021;10:00;15;Ixora chinensis;0;
1;05th July 2021;10:00;15;Tridax procumbens;0;
1;05th July 2021;10:00;15;Achillea millefolium;0;
1;05th July 2021;10:00;15;Aloe sp. 1;Trigona spinipes;2
1;05th July 2021;10:00;15;Pachystachys lutea;Trigona spinipes;2
1;05th July 2021;10:00;15;Justicia brandegeeana;Apis mellifera;2
1;05th July 2021;10:00;15;Justicia brandegeeana;Melipinini preto (Scaptotrigona/Trigona) ? 1;2
1;05th July 2021;10:00;15;Justicia brandegeeana;Hallicitidae verde comum 1;2
1;05th July 2021;10:00;15;Acmella oleracea;0;
1;05th July 2021;10:00;15;Emilia fosbergii;0;
1;05th July 2021;12:30;15;Agave attenuata;Melipinini preto (Scaptotrigona/Trigona) ? Prov. Trigona spinipes;1
1;05th July 2021;12:30;15;Talinum fruticosum;0;
1;05th July 2021;12:30;15;Turnera subulata;0;
1;05th July 2021;12:30;15;Tradescantia pallida;0;
1;05th July 2021;12:30;15;Achillea millefolium;0;
1;05th July 2021;12:30;15;Tridax procumbens;0;
1;05th July 2021;12:30;15;Ixora chinensis;Apis mellifera;1
1;05th July 2021;12:30;15;Ixora chinensis;Hallicitidae verde comum 1;2
1;05th July 2021;12:30;15;Ixora chinensis;Lepidoptera amarela;1
1;05th July 2021;12:30;15;Lantana camara;Borboleta parecida com monarca (já pega);1
1;05th July 2021;12:30;15;Aloe sp. 1;Trigona spinipes;2
1;05th July 2021;12:30;15;Pachystachys lutea;Trigona spinipes;2
1;05th July 2021;12:30;15;Pachystachys lutea;Nannotrigona testaceicornes;2
1;05th July 2021;12:30;15;Justicia brandegeeana;Apis mellifera;2
1;05th July 2021;12:30;15;Justicia brandegeeana;Hallicitidae verde comum (já capturada);2
1;05th July 2021;12:30;15;Justicia brandegeeana;Melipinini preto (Scaptotrigona/Trigona) ? Prov. Trigona spinipes;2
1;05th July 2021;12:30;15;Acmella oleracea;Apis mellifera;1
1;05th July 2021;12:30;15;Acmella oleracea;Tetragonisca sp.;1
1;05th July 2021;12:30;15;Emilia fosbergii;Abelha solitária;1
1;05th July 2021;14:00;15;Agave attenuata;Melipinini preto (Scaptotrigona/Trigona) ? Prov. Trigona spinipes;2
1;05th July 2021;14:00;15;Talinum fruticosum;0;
1;05th July 2021;14:00;15;Turnera subulata;0;
1;05th July 2021;14:00;15;Tradescantia pallida;0;
1;05th July 2021;14:00;15;Ixora chinensis;Hallicitidae (15);2
1;05th July 2021;14:00;15;Achillea millefolium;Vespa (peq.);1
1;05th July 2021;14:00;15;Achillea millefolium;Vaquinha (Coleoptera);1
