Morfo;Visitor
Abeha com abd verde;Thalestria spinosa
Abelha amarela (145);Brachygastra lecheguana
Abelha amarela grande achoq eu centris voo rápido;Oxaea flavescens
Abelha azulada com abd triangular (capturei uma parecida em dezembro/nov.);Halictidae spp.
abelha cap aqui;Hymenoptera sp22
Abelha com abd amarelo. Andrenidae ?;Megachilidae sp2
Abelha com abd listrado, parecia mandaçaia;Hymenoptera sp36
Abelha com detallhes em branco;Centris sp4
Abelha com torax amarelo grandona;Exomalopsis spp.
Abelha coom abd azul e asas transparentes dnv;Euchromiina sp.
Abelha de abd triangular parece vespa asa clara parecida com uma da alternanthera (talvez excluir);Brachygastra lecheguana
Abelha diferente antena grande;Nomada sp. 1
Abelha diferentona;Oxaea flavescens
Abelha doida;Hymenoptera sp3
Abelha doida 2;Hymenoptera sp22
Abelha doida voando sobre;Hymenoptera sp3
abelha doidinha pousada na folha;Hymenoptera sp3
Abelha dourada esverdeada;Halictidae spp.
Abelha dourada esverdeada (148);Halictidae spp.
Abelha estranha cap. Agr;Crabronidae sp. 1
Abelha estranha cap. Aqui;Halictidae spp.
abelha estranha com antenona;Peponapis fervens
abelha estranha com antenonaabc;Melissoptila cnecomala
Abelha estranha marrom;Centris sp3
Abelha estranhona;Crabronidae sp. 1
Abelha já filmada com cara branca;Megachile sp. 9
Abelha listrada em verde/amarelo com preto, abd triangular, face mascarada com as cores (Megachilidae);Crabronidae sp. 2
Abelha maior com máscara;Megachile sp. 9
Abelha média com pelos, tórax amarelo e abd vermelho (SOBREVOANDO);Centris sp1
abelha mt pequnea;Friesella schrottkyi
Abelha pequena;Halictidae spp.
abelha pequena com abd lustroso;Friesella schrottkyi
Abelha pequena no pote branco;Exomalopsis spp.
Abelha pequena rápida (Hallictidae);Halictidae spp.
Abelha preta;Halictidae spp.
Abelha preta enorme linda;Xylocopa sp1
Abelha preta estranha grandinha;Exomalopsis spp.
abelha preta grande 1;Xylocopa sp1
Abelha preta grande;Xylocopa sp1
Abelha preta mt diferente (140);Halictidae spp.
Abelha preta mt doida, acho que exomalospsis;Exomalopsis spp.
Abelha preta parecia megachilidae;Megachile sp. 8
abelha preta que lembra bombus;Bombus sp1
Abelha que aprece amndaçaia;Hymenoptera sp36
Abelha que filmei ontem na Costaceae;Eulaema nigrita
Abelha que lembra mandaçaia;Hymenoptera sp36
Abelha que lembra mandaçaia (Vìdeo);Hymenoptera sp36
Abelha que parece mandaçaia;Hymenoptera sp36
Abelha que parece vespa;Nomada sp. 1
Abelha que parece vespa pequena (Provavelemten megachilidae);Nomada sp. 1
Abelha solitária;Hymenoptera sp19
